"","State","X2017.2016","X2015.2016","X2014.2015","X2012.2013","X2011.2012","X2010.2011","X2009.2010","X2008.2009","X2007.2008","X2006.2007","X2005.2006","X2004.2005","X2003.2004","X2002.2003","X2001.2002","X2000.2001","X1999.2000","X1998.1999","X1997.1998","X1996.1997","X1995.1996","X1994.1995","X1993.1994","X1992.1993","X1991.1992","X1990.1991"
"28","NE","60,135","61,611","60,758","56,255","58,289","59,953","57,841","57,349","58,088","58,478","59,489","58,631","57,856","58,614","59,502","60,062","58,301","55,946","53,943","53,043","52,925","52,467","52,057","51,774","51,807","51,071"
"29","NV","56,587","55,217","52,753","49,224","51,007","54,536","58,225","60,694","63,274","63,894","62,190","61,034","60,888","60,899","62,223","64,166","63,254","60,558","59,641","59,755","58,984","58,339","59,428","57,397","56,386","58,194"
"30","NH","76,351","78,100","77,187","73,858","72,250","73,518","74,169","74,489","77,808","77,808","73,614","72,806","74,075","74,915","73,417","71,969","70,333","67,869","65,199","62,069","62,134","60,299","60,715","65,662","65,574","68,928"
"31","NJ","71,469","70,334","69,175","68,228","69,714","69,519","72,176","74,362","73,123","77,330","81,341","75,821","73,393","74,720","73,208","71,902","72,676","74,252","74,233","73,724","72,233","69,879","68,611","67,412","68,735","70,574"
"32","NM","48,674","48,088","47,536","45,425","46,152","48,355","50,371","48,960","50,310","50,677","48,896","50,236","49,184","47,675","47,211","48,033","49,084","47,810","46,754","42,558","40,399","42,897","44,486","44,618","45,563","46,194"
"33","NY","62,603","61,388","58,154","53,876","53,155","55,699","56,772","57,552","57,799","58,389","59,066","58,722","57,625","57,254","57,897","58,305","58,589","57,692","55,527","54,978","54,093","52,632","52,721","53,213","54,644","56,794"
"34","NC","52,632","53,740","50,524","43,940","46,912","49,381","48,655","48,496","50,283","50,037","50,711","52,632","51,076","49,850","51,430","53,831","54,839","54,501","54,386","55,159","53,402","50,327","48,846","47,986","47,479","47,646"
"35","ND","60,682","60,442","61,176","57,697","60,606","59,516","57,116","56,998","56,295","52,986","51,558","52,055","52,506","51,726","49,571","50,530","49,794","46,942","47,023","48,743","47,863","46,506","46,752","46,701","45,936","45,829"
"36","OH","57,457","55,147","53,302","48,185","48,117","50,234","52,053","53,056","55,878","57,066","55,781","55,815","57,078","58,234","58,159","59,660","59,803","58,476","56,937","54,189","54,580","54,129","52,339","53,171","53,184","53,591"
"37","OK","53,522","50,374","48,815","48,960","52,352","50,746","50,612","52,586","51,923","49,276","47,351","49,451","49,750","48,891","49,619","47,859","47,265","49,537","49,366","45,359","42,490","43,224","44,140","43,707","44,120","44,648"
